Sr. No.,State_Name_With_LGD_Code,District_Name_With_LGD_Code,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,Pre-monsoon_2015 (meters below ground level),Post-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Post-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Post-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Post-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Post-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Post-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Post-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Post-monsoon_2022 (meters below ground level)
1361,Karnataka_29,Chamarajanagara_531,Gundlupet_5576,Hangala_216723,Siddaianapura,Siddaianapura,Bore Well,SGWD,150213,11.7234,76.6566,60.0,Semi confined,36.0,35.0,37.6,36.7,41.78,35.73,36.44,35.84,35.8,31.44,33.69,34.01,35.81,32.1,34.15,25.82
1369,Karnataka_29,Chamarajanagara_531,Gundlupet_5576,Mangala_216731,Kekkanahalla,Kekkanahalla,Dug Well,SGWD,150209D,11.6195,76.5904,9.6,Semi confined,3.0,3.0,4.3,3.35,3.1,3.2,4.7,2.45,4.94,1.75,4.25,4.03,6.2,1.86,2.35,1.4
1380,Karnataka_29,Chamarajanagara_531,Gundlupet_5576,,Gundlupet,Gundlupet,Bore Well,SGWD,150201,11.8058,76.6874,45.0,Semi confined,29.0,30.0,32.6,31.9,31.85,32.83,33.56,33.05,33.55,32.88,33.5,33.76,33.51,33.64,33.51,25.97
1382,Karnataka_29,Chikkaballapur_630,Bagepalli_5864,Chakavelu_218764,Chakavelu,Chakavelu,Piezometer,SGWD,130108,13.8253,78.0968,56.5,Semi confined,19.78,9.3,13.2,14.57,16.2,11.24,10.88,11.74,13.02,9.0,21.05,10.0,10.9,6.29,8.2,7.7
1383,Karnataka_29,Chikkaballapur_630,Bagepalli_5864,Chelur_218765,Chelur,Chelur,Piezometer,SGWD,130116,13.7043,78.0965,322.0,Semi confined,165.0,144.2,141.0,93.3,113.0,102.39,88.0,120.3,128.1,106.35,136.32,115.49,68.02,26.65,9.55,5.8
1387,Karnataka_29,Chikkaballapur_630,Bagepalli_5864,Gulur_218769,Gulur,Gulur,Piezometer,SGWD,130115,13.8439,77.8417,221.0,Semi confined,31.45,23.2,17.7,21.3,35.95,30.0,21.91,26.34,42.4,82.82,81.55,79.41,56.05,37.45,29.85,9.8
1397,Karnataka_29,Chikkaballapur_630,Bagepalli_5864,Pathapalya_218780,Pathapalya,Pathapalya,Piezometer,SGWD,130117,13.7622,77.9527,156.0,Semi confined,109.15,115.6,94.0,57.28,78.05,87.5,68.0,80.0,86.0,121.0,139.0,95.28,79.0,15.4,11.0,6.1
1422,Karnataka_29,Chikkaballapur_630,Chikkaballapur_5596,Kuppahalli_218837,Veerenahalli,Veerenahalli,Piezometer,SGWD,130308,13.3612,77.693,80.0,Semi confined,69.0,61.4,61.65,57.95,64.41,53.75,62.19,62.25,62.63,67.35,65.3,62.65,62.0,27.4,27.15,12.8
1436,Karnataka_29,Chikkaballapur_630,Chintamani_5600,Burudagunte_218849,Burudugunte,Burudugunte,Piezometer,SGWD,130401,13.594,78.0339,60.0,Semi confined,24.65,16.0,24.65,16.0,12.13,2.8,16.9,17.93,21.25,3.25,23.0,2.0,17.02,0.1,2.25,0.7
1437,Karnataka_29,Chikkaballapur_630,Chintamani_5600,Chilakalanerpu_218850,Chilkalnerpu,Chilkalnerpu,Piezometer,SGWD,130413,13.6583,78.0723,155.0,Semi confined,28.0,27.35,28.0,27.35,29.15,14.79,32.0,40.85,54.05,49.02,54.02,34.3,48.05,8.24,17.9,7.9
1439,Karnataka_29,Chikkaballapur_630,Chintamani_5600,Doddaganjur_218852,Kodadawadi,Kodadawadi,Piezometer,SGWD,130408,13.3682,78.1337,75.0,Semi confined,46.55,41.65,46.55,41.65,46.85,41.2,43.05,42.54,45.0,44.7,53.5,43.23,44.0,33.94,39.19,37.5
1446,Karnataka_29,Chikkaballapur_630,Chintamani_5600,Kattariguppe_218858,Lakshmidevikote,Lakshmidevikote,Piezometer,SGWD,130410,13.4341,77.9947,87.27,Semi confined,7.0,2.5,7.0,2.5,7.05,4.0,6.1,5.2,9.95,13.25,21.62,31.5,29.8,23.38,21.3,14.5
1457,Karnataka_29,Chikkaballapur_630,Chintamani_5600,Murugamalla_218868,Muragamalla,Muragamalla,Piezometer,SGWD,130412,13.4374,78.1258,90.0,Semi confined,16.1,6.0,16.1,6.0,9.06,4.56,6.0,6.74,9.35,9.05,14.0,4.3,6.0,2.1,3.55,3.0
1460,Karnataka_29,Chikkaballapur_630,Chintamani_5600,Peramachanahalli_218872,Konganahalli,Konganahalli,Piezometer,SGWD,130418,13.3323,77.9998,239.25,Semi confined,35.75,30.85,32.2,31.17,33.3,30.99,31.69,32.84,36.0,33.12,34.5,32.12,31.95,29.78,28.7,22.0
1462,Karnataka_29,Chikkaballapur_630,Chintamani_5600,Santhekallahalli_218874,Hirepalya,Hirepalya,Piezometer,SGWD,130417,13.286,77.96,310.0,Semi confined,55.05,49.5,34.5,55.8,68.93,33.45,39.43,34.68,51.22,37.25,44.0,25.95,34.45,11.7,22.7,12.5
1468,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Alakapura_218880,Alkapura,Alkapura,Piezometer,SGWD,130507,13.555,77.521,50.0,Semi confined,44.45,36.0,40.35,24.35,26.94,24.45,28.18,36.46,40.0,41.26,45.01,38.6,27.45,11.84,11.94,1.84
1469,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Alipura_218881,Allipura,Allipura,Piezometer,SGWD,130518,13.493,77.462,184.0,Semi confined,73.1,57.45,60.3,59.4,70.0,62.7,77.47,76.18,89.01,79.3,90.0,80.95,89.5,28.78,25.61,9.38
1473,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,D.Palya_218886,D.N.Palya,D.N.Palya,Piezometer,SGWD,130506,13.628,77.604,50.0,Semi confined,6.0,1.4,3.6,3.77,4.95,2.85,4.09,3.95,5.2,3.0,5.01,1.62,5.0,0.58,1.08,0.8
1490,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Kallinayakanahalli_218901,Thippaganahalli,Thippaganahalli,Piezometer,SGWD,130503,13.445,77.514,81.81,Semi confined,24.0,10.5,13.25,11.55,17.1,8.54,10.1,11.65,18.9,13.42,21.02,14.1,21.5,7.0,7.45,5.55
1491,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Kurudi_218902,Kurudi,Kurudi,Piezometer,SGWD,130520,13.622,77.392,170.73,Semi confined,48.0,14.75,17.8,27.13,54.55,61.0,94.5,133.46,147.0,146.0,142.94,129.8,91.02,68.4,55.5,10.2
1492,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Manchenahalli_218903,Manchenhalli,Manchenhalli,Piezometer,SGWD,130510,13.499,77.603,150.0,Semi confined,22.95,14.5,19.5,22.0,34.05,21.0,32.0,43.0,50.89,50.0,61.05,34.38,24.35,7.4,7.9,5.7
1507,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Vatadahosahally_218916,Vatadahosahalli,Vatadahosahalli,Piezometer,SGWD,130512,13.704,77.623,183.0,Semi confined,30.15,29.9,24.1,13.05,19.7,18.49,26.14,32.61,51.42,60.0,65.02,44.1,53.65,16.4,12.02,1.3
1514,Karnataka_29,Chikkaballapur_630,Gudibande_5597,Ullodu_218921,Gudibande,Gudibande,Piezometer,SGWD,130608,13.6706,77.7118,206.0,Semi confined,34.65,8.3,17.3,11.95,26.05,7.09,12.65,10.8,29.03,10.95,20.76,7.52,10.11,2.67,5.3,3.55
1516,Karnataka_29,Chikkaballapur_630,Gudibande_5597,Varlakonda_218922,Varlakonda,Varlakonda,Piezometer,SGWD,130607,13.6357,77.7839,89.0,Semi confined,19.15,9.2,14.0,12.9,15.0,9.34,11.74,12.61,16.0,12.45,16.65,10.12,14.0,3.35,7.3,3.5
1517,Karnataka_29,Chikkaballapur_630,Gudibande_5597,Yellodu_218923,Yellodu,Yellodu,Piezometer,SGWD,130603,13.7379,77.6871,37.0,Semi confined,23.75,23.8,22.3,20.5,22.71,20.71,22.13,22.22,26.05,18.94,21.0,18.75,21.75,10.1,14.1,9.1
1524,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Dibburahalli_219024,Diburahalli,Diburahalli,Piezometer,SGWD,131002,13.5581,77.9044,65.0,Semi confined,30.55,22.05,25.3,25.76,27.0,21.1,27.52,25.42,27.0,22.37,26.4,22.7,26.05,4.04,9.99,7.5
1526,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Doddathekalahalli_219025,Ajjakadirenahalli,Ajjakadirenahalli,Piezometer,SGWD,131013,13.486,77.8648,194.0,Semi confined,69.25,63.0,78.0,70.2,79.17,71.68,91.55,119.07,128.25,110.0,140.0,103.1,143.05,49.95,100.82,49.5
1527,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Ganjigunta_219026,Ganjigunte,Ganjigunte,Piezometer,SGWD,131004,13.4899,77.9827,73.7,Semi confined,26.65,26.25,16.3,13.82,18.42,18.0,20.0,24.0,19.0,21.55,23.0,20.93,17.75,8.6,25.28,6.7
1541,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Sadali_219039,Sadali,Sadali,Piezometer,SGWD,131016,13.6263,77.8759,162.0,Semi confined,114.0,124.9,130.2,85.3,95.73,99.84,97.99,127.0,142.35,144.0,146.0,125.31,77.3,29.9,11.05,4.3
1548,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Y.Hunasenahalli_219044,Hunsenahalli,Hunsenahalli,Piezometer,SGWD,131009,13.4008,77.9471,70.0,Semi confined,33.25,27.85,30.8,32.0,35.02,33.46,34.86,35.85,37.55,35.0,41.02,27.79,20.5,32.84,28.5,25.1
1549,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,,Sidlaghatta,Sidlaghatta,Piezometer,SGWD,131012,13.3936,77.8655,65.0,Semi confined,28.3,27.3,23.5,25.33,29.05,21.1,23.17,23.9,27.45,24.64,27.9,22.2,23.72,12.94,15.82,13.8
1569,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Hochihalli_216856,Hochihalli,Hochihalli,Piezometer,SGWD,060216HP,13.6141,76.2388,66.0,Semi confined,9.35,7.55,7.45,17.15,22.55,12.25,15.45,15.05,24.65,5.15,9.85,7.65,10.75,3.95,3.55,1.5
1578,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Kamanakere_216864,K. Dasarahalli,K. Dasarahalli,Piezometer,SGWD,060217HP,13.6214,76.0425,60.0,Semi confined,31.4,16.7,12.65,20.05,36.4,37.9,40.8,42.1,51.2,26.3,27.7,24.9,31.3,14.0,11.7,4.7
1596,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Saraswatipura_216880,Sarswathipura,Sarswathipura,Piezometer,SGWD,060208HP,13.5102,75.9662,69.14,Semi confined,16.1,14.5,5.95,22.2,28.2,24.0,28.1,22.2,31.5,15.0,18.4,14.7,18.6,10.5,13.6,7.95
1597,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Singatagere_216881,Singatagere,Singatagere,Piezometer,SGWD,060204HP,13.5138,76.1766,63.0,Semi confined,5.65,1.65,20.85,11.45,18.65,6.05,6.15,4.45,13.75,0.75,4.65,2.35,4.65,0.95,3.25,1.15
1606,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Yallambalase_216891,Yellambelase,Yellambelase,Piezometer,SGWD,60212,13.5717,76.109,50.0,Semi confined,11.2,8.1,26.05,18.2,22.0,22.2,23.1,19.6,27.9,11.7,8.2,5.7,10.0,5.9,4.3,1.7
1607,Karnataka_29,Chikkamagaluru_532,Kadur_5803,,Antharagatte,Antharagatte,Piezometer,SGWD,060213HP,13.7353,76.1195,64.93,Semi confined,8.35,3.15,13.0,11.55,15.75,11.55,16.35,13.45,20.25,5.45,5.85,4.45,10.45,2.75,4.75,1.25
1609,Karnataka_29,Chikkamagaluru_532,Kadur_5803,,Kadurhalli,Kadurhalli,Piezometer,SGWD,60201,13.5566,76.0133,13.52,Semi confined,5.0,4.1,6.5,7.5,8.1,3.7,3.4,5.8,8.2,2.4,5.2,3.9,4.5,1.2,2.7,2.9
1614,Karnataka_29,Chitradurga_533,Challakere_5809,Chennammanagathihalli_217017,Purlehalli,Purlehalli,Bore Well,SGWD,70119,14.2791,76.797,36.0,Semi confined,16.1,5.4,12.5,15.6,18.22,1.47,9.1,11.83,18.25,1.6,9.6,1.8,6.5,0.95,0.6,0.56
1627,Karnataka_29,Chitradurga_533,Challakere_5809,Jajuru_217029,Nagagondanahalli,Nagagondanahalli,Bore Well,SGWD,70120,14.3871,76.8398,30.5,Semi confined,13.96,9.33,12.38,13.65,14.92,9.25,13.6,14.25,16.1,11.4,13.1,7.65,7.55,5.25,5.0,3.46
1630,Karnataka_29,Chitradurga_533,Challakere_5809,Mannekote_217032,Hosahalli,Hosahalli,Bore Well,SGWD,70116,14.4485,76.6604,42.5,Semi confined,17.22,16.84,16.82,17.05,16.84,16.5,16.8,16.9,17.6,17.4,18.1,16.8,21.95,13.4,16.05,13.3
1633,Karnataka_29,Chitradurga_533,Challakere_5809,Mylanahalli_217030,Mylanahalli,Mylanahalli,Bore Well,SGWD,70122,14.4459,76.8238,48.0,Semi confined,21.11,18.81,19.02,23.0,27.52,23.57,16.55,15.8,19.6,16.2,17.3,14.1,14.4,12.25,10.9,6.82
1645,Karnataka_29,Chitradurga_533,Challakere_5809,Sanikere_217046,Kaparahalli,Kaparahalli,Bore Well,SGWD,70126,14.1664,76.6935,71.0,Semi confined,16.25,7.24,14.71,22.0,27.46,5.2,11.0,14.05,21.9,14.85,22.1,8.1,13.85,4.9,6.35,2.54
1658,Karnataka_29,Chitradurga_533,Chitradurga_5505,Belagatta_217055,Belagatta,Belagatta,Bore Well,SGWD,70214,14.3108,76.4543,60.0,Semi confined,18.45,16.56,33.3,39.37,41.49,18.29,28.05,35.66,41.0,11.9,18.2,9.3,11.85,9.5,9.05,6.9
1659,Karnataka_29,Chitradurga_533,Chitradurga_5505,Bharamasagara_217056,Bharamasagara,Bharamasagara,Bore Well,SGWD,70202,14.3664,76.1943,55.0,Semi confined,25.8,23.3,35.8,37.35,51.8,34.85,42.75,40.55,54.4,31.55,45.6,29.2,36.45,16.57,16.9,8.71
1664,Karnataka_29,Chitradurga_533,Chitradurga_5505,Chikkagondanahalli_217060,Chikkagondanahalli,Chikkagondanahalli,Bore Well,SGWD,70219B,14.3771,76.3715,54.5,Semi confined,28.25,25.31,36.55,47.58,47.57,40.3,39.8,47.35,49.52,41.7,49.6,31.25,31.7,24.3,23.9,15.64
1667,Karnataka_29,Chitradurga_533,Chitradurga_5505,Dyamavvanahalli_217063,Kallahalli,Kallahalli,Bore Well,SGWD,70206,14.2456,76.5104,22.5,Semi confined,9.19,7.96,14.36,16.9,16.93,11.85,10.25,15.73,17.22,7.45,10.0,4.0,7.15,5.0,4.49,3.9
1671,Karnataka_29,Chitradurga_533,Chitradurga_5505,Hireguntanoor_217066,Hireguntanur,Hireguntanur,Bore Well,SGWD,702032BW,14.2169,76.2846,62.0,Semi confined,16.7,10.11,19.88,30.0,46.16,41.22,43.05,31.55,50.58,22.35,49.6,14.45,39.2,10.25,21.2,0.83
1678,Karnataka_29,Chitradurga_533,Chitradurga_5505,Kogunde_217074,Bhahadurgatta,Bhahadurgatta,Bore Well,SGWD,70210,14.4356,76.1787,49.0,Semi confined,29.42,25.54,30.76,31.6,34.16,24.65,31.8,34.15,39.1,17.1,31.2,22.34,32.3,7.05,17.55,2.89
1682,Karnataka_29,Chitradurga_533,Chitradurga_5505,Lakshmisagara_217077,Vijapura,Vijapura,Bore Well,SGWD,70212,14.2928,76.281,64.0,Semi confined,17.54,17.3,20.46,22.65,25.22,16.55,19.8,20.1,23.7,13.55,17.4,13.15,15.75,13.45,15.2,7.92
1684,Karnataka_29,Chitradurga_533,Chitradurga_5505,Madakaripura_217078,Medakaripura,Medakaripura,Bore Well,SGWD,70205,14.2257,76.4394,60.0,Semi confined,2.8,3.18,4.66,5.5,7.24,2.05,2.45,4.3,6.2,1.7,4.7,0.55,2.95,0.55,2.92,1.6
1705,Karnataka_29,Chitradurga_533,Hiriyur_5811,Imangala_217101,Yalakuranahalli,Yalakuranahalli,Bore Well,SGWD,70522,14.0653,76.4532,69.0,Semi confined,17.56,10.55,20.05,31.6,49.89,40.65,52.0,45.8,54.0,23.05,23.3,10.95,15.7,9.6,11.7,4.87
1712,Karnataka_29,Chitradurga_533,Hiriyur_5811,Maradihalli_217109,Maradihalli,Maradihalli,Bore Well,SGWD,70518,14.134,76.5264,44.0,Semi confined,11.95,10.88,10.2,10.8,12.66,7.95,8.1,7.65,10.15,8.5,9.3,4.9,4.8,2.8,3.5,2.11
1721,Karnataka_29,Chitradurga_533,Hiriyur_5811,,Balenahalli,Balenahalli,Bore Well,SGWD,70516BW,14.0192,76.6365,40.0,Semi confined,6.77,4.3,5.5,7.26,10.16,6.18,8.2,9.8,12.45,5.6,7.2,4.42,8.05,2.65,5.9,0.58
1722,Karnataka_29,Chitradurga_533,Hiriyur_5811,,Hiriyur,Hiriyur,Bore Well,SGWD,70510,13.9592,76.6131,40.0,Semi confined,4.37,1.3,5.25,5.48,4.57,1.85,2.66,3.26,10.86,2.2,3.6,2.11,2.76,0.71,3.31,1.65
1728,Karnataka_29,Chitradurga_533,Holalkere_5812,Chitrahalli_217127,Amrutapura,Amrutapura,Bore Well,SGWD,70610,14.1377,76.2449,46.0,Semi confined,16.08,12.94,17.15,20.3,22.32,18.3,21.6,22.0,27.65,21.85,22.1,21.4,23.5,12.9,12.1,5.85
1729,Karnataka_29,Chitradurga_533,Holalkere_5812,Chitrahalli_217127,Chitrahalli,Chitrahalli,Bore Well,SGWD,70614,14.0969,76.2743,80.0,Semi confined,42.5,28.65,49.8,49.7,61.2,51.95,60.9,49.15,62.6,48.05,54.0,42.7,46.5,26.0,28.09,17.88
1734,Karnataka_29,Chitradurga_533,Holalkere_5812,H.D.Pura_217132,Horakedevarapura,Horakedevarapura,Bore Well,SGWD,70601,14.0314,76.3278,60.0,Semi confined,6.1,3.49,6.29,6.2,7.1,6.1,6.0,6.0,7.0,5.5,6.8,1.8,5.9,3.4,2.69,0.6
1746,Karnataka_29,Chitradurga_533,Holalkere_5812,,Arehallihatti,Arehallihatti,Bore Well,SGWD,70615,14.0368,76.1382,45.0,Semi confined,3.75,1.48,4.58,4.6,5.92,2.55,4.75,3.9,7.4,0.5,2.6,1.95,3.07,0.55,3.17,1.35
1747,Karnataka_29,Chitradurga_533,Holalkere_5812,,Arehallihatti,Arehallihatti,Bore Well,SGWD,70616,14.0366,76.1379,67.0,Semi confined,3.06,1.46,4.42,3.78,5.6,2.6,4.2,2.88,6.24,0.4,1.2,1.0,3.4,0.2,2.25,0.45
1748,Karnataka_29,Chitradurga_533,Holalkere_5812,,Arehallihatti(Open Well),Arehallihatti(Open Well),Dug Well,SGWD,70609,14.0367,76.1383,13.0,Semi confined,3.75,1.38,3.3,4.8,6.1,3.1,4.66,3.5,7.5,1.8,3.7,2.1,3.4,0.1,2.3,0.52
1751,Karnataka_29,Chitradurga_533,Holalkere_5812,,Sasaluhalla,Sasaluhalla,Bore Well,SGWD,70611,14.2103,76.1076,48.5,Semi confined,10.35,9.03,13.25,15.2,19.34,18.75,19.9,20.8,23.42,16.95,20.1,16.95,15.45,10.05,10.66,3.95
1757,Karnataka_29,Chitradurga_533,Hosadurga_5813,Belagur_217153,Belagur,Belagur,Bore Well,SGWD,70720,13.6296,76.289,70.0,Semi confined,8.05,8.2,11.35,13.1,16.25,10.45,14.2,12.4,18.5,4.9,5.6,4.8,6.11,3.2,3.2,0.8
1759,Karnataka_29,Chitradurga_533,Hosadurga_5813,Chikkabyaladkere_217155,Chikkabyaladakere,Chikkabyaladakere,Bore Well,SGWD,70719,13.7046,76.5248,73.0,Semi confined,7.95,3.83,5.9,7.1,10.92,5.7,7.8,6.3,9.1,3.25,5.1,4.6,6.45,1.94,5.1,3.0
1767,Karnataka_29,Chitradurga_533,Hosadurga_5813,Heggere_217163,Heggere,Heggere,Bore Well,SGWD,70709,13.6064,76.4361,36.0,Semi confined,10.33,6.63,9.75,12.55,14.31,12.4,15.7,16.05,18.5,3.25,5.65,8.79,9.85,2.99,2.9,1.3
1774,Karnataka_29,Chitradurga_533,Hosadurga_5813,Karehalli_217170,Ajjikamsagara,Ajjikamsagara,Bore Well,SGWD,70721,13.7614,76.3871,70.0,Semi confined,17.78,5.05,12.82,22.1,32.72,24.75,33.1,30.95,50.35,7.6,12.4,7.3,12.7,1.85,5.5,0.68
1777,Karnataka_29,Chitradurga_533,Hosadurga_5813,Lakkihalli_217173,Seeranakatte(Open Well),Seeranakatte(Open Well),Bore Well,SGWD,70714,13.8909,76.4271,23.2,Semi confined,5.22,1.18,5.1,5.72,6.55,1.48,4.8,2.1,5.35,1.2,2.0,1.22,1.95,0.75,2.9,0.82
1779,Karnataka_29,Chitradurga_533,Hosadurga_5813,Madadkere_217174,Madadakere,Madadakere,Bore Well,SGWD,70723,13.8872,76.3856,68.0,Semi confined,8.6,2.45,9.2,17.5,24.42,11.95,17.6,4.55,13.05,2.1,5.9,3.3,7.5,0.2,6.7,2.2
1793,Karnataka_29,Davangere_535,Channagiri_5820,Hebbalagere_217418,Hebbalageri,Hebbalageri,Piezometer,SGWD,170206A/170217,14.025,76.019,76.21,Semi confined,13.4,9.1,13.9,12.1,19.0,18.4,27.2,25.3,33.0,18.4,26.5,6.8,16.1,0.7,3.15,1.0
1807,Karnataka_29,Davangere_535,Channagiri_5820,,Basavaapattana,Basavaapattana,Dug Well,SGWD,170213,14.198,75.811,7.5,Semi confined,2.1,0.3,3.3,1.65,2.9,0.35,0.9,0.2,1.75,0.2,0.45,0.3,0.7,0.05,0.0,0.05
1809,Karnataka_29,Davangere_535,Channagiri_5820,,Channagiri,Channagiri,Piezometer,SGWD,170201A,14.0202,75.93,121.95,Semi confined,29.8,22.35,30.6,26.5,30.5,19.7,24.6,18.8,27.3,5.5,10.2,6.9,11.75,2.3,11.2,3.5
1811,Karnataka_29,Davangere_535,Channagiri_5820,,Herekogalooru,Herekogalooru,Dug Well,SGWD,170210,14.104,75.954,10.05,Semi confined,5.6,1.5,4.8,3.55,6.45,4.4,2.75,2.25,4.35,1.8,2.85,1.35,3.0,1.15,1.35,1.45
1812,Karnataka_29,Davangere_535,Channagiri_5820,,Kariganooru,Kariganooru,Dug Well,SGWD,170208,14.306,75.8519,8.45,Semi confined,1.6,0.45,3.9,2.1,3.75,1.45,1.1,0.9,1.55,0.9,1.2,1.25,2.35,1.3,0.6,0.5
1813,Karnataka_29,Davangere_535,Channagiri_5820,,Arishinaghatta,Arishinaghatta,Dug Well,SGWD,170215,14.112,75.882,10.65,Semi confined,2.15,0.35,3.9,2.1,5.0,4.35,1.85,1.25,1.65,1.1,1.55,0.95,2.7,0.7,0.95,0.9
1814,Karnataka_29,Davangere_535,Channagiri_5820,,Santebennuru,Santebennuru,Piezometer,SGWD,170202HP,14.168,76.0025,87.0,Semi confined,10.85,4.3,11.4,9.95,13.5,8.2,9.1,8.3,10.8,7.6,7.6,4.6,7.0,1.1,2.95,1.4
1815,Karnataka_29,Davangere_535,Channagiri_5820,,Santebennuru,Santebennuru,Dug Well,SGWD,170202A,14.168,76.003,13.8,Semi confined,4.55,1.15,5.7,3.7,5.5,4.2,5.6,5.1,9.5,4.5,9.9,4.0,4.1,0.75,1.3,0.05
1816,Karnataka_29,Davangere_535,Channagiri_5820,,Tavarekere,Tavarekere,Dug Well,SGWD,170203,13.854,75.9625,9.4,Semi confined,2.65,0.25,4.3,2.45,3.2,1.8,3.7,1.1,4.4,0.4,0.95,0.8,3.05,0.8,1.65,0.8
1817,Karnataka_29,Davangere_535,Channagiri_5820,,Tavarekere,Tavarekere,Piezometer,SGWD,170203HP,13.8538,75.9625,75.0,Semi confined,4.15,0.8,5.45,3.3,8.7,5.0,3.1,1.0,4.4,0.4,2.4,2.0,2.7,0.1,1.3,0.05
1823,Karnataka_29,Davangere_535,Jagaluru_5825,Bilichodu_217613,Bilichodu,Bilichodu,Piezometer,SGWD,70803,14.4936,76.1561,40.0,Semi confined,23.25,18.8,24.7,22.9,29.4,26.1,20.5,22.3,26.7,19.5,20.4,17.4,20.9,12.6,9.9,4.6
1826,Karnataka_29,Davangere_535,Jagaluru_5825,Diddigi_217616,Uchchangipura,Uchchangipura,Piezometer,SGWD,70809/70817,14.6041,76.1625,84.3,Semi confined,20.2,14.25,21.95,20.1,27.3,10.4,16.5,19.9,29.15,12.4,18.4,10.0,20.5,9.5,8.0,6.4
1829,Karnataka_29,Davangere_535,Jagaluru_5825,Guttidurga_217619,Medaginakere,Medaginakere,Piezometer,SGWD,70814,14.4916,76.2541,59.45,Semi confined,17.2,12.6,17.55,16.6,20.5,17.5,22.7,22.5,28.0,19.0,20.5,16.8,30.0,14.5,5.2,2.1
1833,Karnataka_29,Davangere_535,Jagaluru_5825,Hiremallanahole_217622,H.M.Go.Hatti,H.M.Go.Hatti,Piezometer,SGWD,70811,14.5208,76.4458,50.0,Semi confined,29.95,24.75,36.55,35.3,44.0,23.25,26.2,28.4,31.25,23.05,27.1,18.8,23.75,20.2,21.6,15.25
1834,Karnataka_29,Davangere_535,Jagaluru_5825,Hiremallanahole_217622,H.M.Go.Hatti,H.M.Go.Hatti,Piezometer,SGWD,70816,14.52083,76.44583,56.5,Semi confined,29.0,24.35,37.7,37.6,42.5,23.3,25.9,28.5,31.0,23.75,27.4,18.85,23.7,20.4,20.4,21.9
1838,Karnataka_29,Davangere_535,Jagaluru_5825,Kyasenahalli_217626,Kyasanahalli,Kyasanahalli,Piezometer,SGWD,70812,14.6355,76.3416,63.72,Semi confined,25.8,21.85,30.45,28.1,36.4,24.35,23.55,25.3,28.55,14.8,19.25,8.85,15.4,16.0,19.95,6.4
1846,Karnataka_29,Gadag_537,Gadag_5470,Asundi_217760,Gadag,GADAG KSRTC,Bore Well,SGWD,90305,15.42176,75.62394,60.0,Semi confined,19.5,20.58,18.72,17.35,24.5,8.4,7.92,5.3,6.05,2.05,3.3,1.8,4.3,2.0,4.0,3.13
1860,Karnataka_29,Gadag_537,Gadag_5470,Lakkundi_217777,Lakundi,"lakkundi main side,lakkundi",Bore Well,SGWD,91807,15.39278,75.71611,43.0,Semi confined,18.1,20.85,18.3,17.94,22.3,4.05,7.6,5.43,11.85,6.75,5.25,2.55,5.65,2.55,4.15,0.95
1867,Karnataka_29,Gadag_537,Gadag_5470,,Hulkoti,"Bus stand ,Hulkoti",Bore Well,SGWD,90301,15.42444,75.54417,12.0,Semi confined,3.4,4.0,5.7,6.8,8.3,8.8,9.1,8.51,9.2,4.7,4.0,1.8,2.3,2.0,2.5,2.5
1886,Karnataka_29,Gadag_537,Ron_5834,Mallapur_217830,Mallapur,"Irrigation IB Road side ,Mallapur",Bore Well,SGWD,91809,15.675,75.6333,88.0,Semi confined,34.75,28.0,26.58,26.81,29.0,25.9,27.25,20.94,28.25,26.7,24.4,23.55,23.6,23.8,23.0,22.63
1887,Karnataka_29,Gadag_537,Ron_5834,Mushigeri_217832,Mushigeri,Near Bus stand Mushigeri,Bore Well,SGWD,91405,15.79972,75.85611,52.0,Semi confined,25.65,31.6,38.45,42.1,46.2,43.7,47.0,49.37,49.95,43.45,38.55,36.45,31.85,32.1,33.12,24.38
